year,medSold,zhvi,medRent
2016-02,238250,240900,1250
2016-03,243750,243400,1267.5
2016-04,250650,246000,1295
2016-05,260100,247500,1300
2016-06,260700,248500,1250
2016-07,NA,250200,1250
2016-08,NA,252700,1295
2016-09,NA,255600,1225
2016-10,NA,258800,1250
2016-11,NA,261800,1295
2016-12,NA,263700,1250
2017-01,NA,264300,1350
2017-02,NA,264500,1397.5
