Year,Annual Total
2001," 137,583"
2002," 137,968"
2003," 136,455"
2004," 139,482"
2005," 145,198"
2006," 148,826"
2007," 151,085"
2008," 147,764"
2009," 135,720"
2010," 134,572"
2011," 135,602"
2012," 136,858"
2013," 138,694"
2014," 142,129"
2015," 146,800"
